Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
"Congo, Rep.",COG,Lower middle income,Sub-Saharan Africa,Africa,1.31,5970424,30.691,183238.283,227.2154709,240.0421507
Costa Rica,CRI,Upper middle income,Latin America & Caribbean,Americas,1.14,5180829,11.873,61511.98272,76.27485857,70.1236603
Cote d'Ivoire,CIV,Lower middle income,Sub-Saharan Africa,Africa,1.31,28160542,33.934,955599.8322,1184.943792,1251.83578
Croatia,HRV,High income,Europe & Central Asia,Europe,1.11,3855600,9.4,36242.64,44.9408736,40.2293304
Cuba,CUB,Upper middle income,Latin America & Caribbean,Americas,1.14,11212191,8.922,100035.1681,124.0436084,114.0400916
Curacao,CUW,High income,Latin America & Caribbean,Americas,1.14,149996,8.6,1289.9656,1.599557344,1.470560784
Cyprus,CYP,High income,Europe & Central Asia,Europe,1.11,1251488,10.313,12906.59574,16.00417872,14.32632128
Czechia,CZE,High income,Europe & Central Asia,Europe,1.11,10672118,10.6,113124.4508,140.274319,125.5681404
Denmark,DNK,High income,Europe & Central Asia,Europe,1.11,5903037,10.8,63752.7996,79.0534715,70.76560756
Djibouti,DJI,Lower middle income,Middle East & North Africa,Eastern Mediterranean,1.18,1120849,22.205,24888.45205,30.86168054,29.36837341
Dominica,DMA,Upper middle income,Latin America & Caribbean,Americas,1.14,72737,13.326,969.293262,1.201923645,1.104994319
Dominican Republic,DOM,Upper middle income,Latin America & Caribbean,Americas,1.14,11228821,18.432,206969.6287,256.6423396,235.9453767
Ecuador,ECU,Upper middle income,Latin America & Caribbean,Americas,1.14,18001000,16.817,302722.817,375.3762931,345.1040114
"Egypt, Arab Rep.",EGY,Lower middle income,Middle East & North Africa,Eastern Mediterranean,1.18,110990103,22.558,2503714.743,3104.606282,2954.383397
El Salvador,SLV,Lower middle income,Latin America & Caribbean,Americas,1.14,6336392,16.025,101540.6818,125.9104454,115.7563773
Equatorial Guinea,GNQ,Upper middle income,Sub-Saharan Africa,Africa,1.31,1674908,30.498,51081.34418,63.34086679,66.91656088
Eritrea,ERI,Low income,Sub-Saharan Africa,Africa,1.31,3684032,28.624,105451.732,130.7601476,138.1417689
Estonia,EST,High income,Europe & Central Asia,Europe,1.11,1348840,10,13488.4,16.725616,14.972124
Eswatini,SWZ,Lower middle income,Sub-Saharan Africa,Africa,1.31,1201670,24.134,29001.10378,35.96136869,37.99144595
Ethiopia,ETH,Low income,Sub-Saharan Africa,Africa,1.31,123379924,32.383,3995412.079,4954.310978,5233.989823
Faroe Islands,FRO,High income,Europe & Central Asia,Europe,1.11,53090,12.8,679.552,0.84264448,0.75430272
Fiji,FJI,Upper middle income,East Asia & Pacific,Western Pacific,0.86,929766,19.345,17986.32327,22.30304085,15.46823801
Finland,FIN,High income,Europe & Central Asia,Europe,1.11,5556106,9,50004.954,62.00614296,55.50549894
France,FRA,High income,Europe & Central Asia,Europe,1.11,67971311,10.9,740887.2899,918.7002395,822.3848918
French Polynesia,PYF,High income,East Asia & Pacific,Western Pacific,0.86,306279,12.759,3907.813761,4.845689064,3.360719834
Gabon,GAB,Upper middle income,Sub-Saharan Africa,Africa,1.31,2388992,27.142,64842.02086,80.40410587,84.94304733
"Gambia, The",GMB,Low income,Sub-Saharan Africa,Africa,1.31,2705992,33.257,89993.17594,111.5915382,117.8910605
Georgia,GEO,Upper middle income,Europe & Central Asia,Europe,1.11,3712502,13.412,49792.07682,61.74217526,55.26920527
Germany,DEU,High income,Europe & Central Asia,Europe,1.11,83797985,9.6,804460.656,997.5312134,892.9513282
Ghana,GHA,Lower middle income,Sub-Saharan Africa,Africa,1.31,33475870,27.548,922193.2668,1143.519651,1208.073179
Gibraltar,GIB,High income,Europe & Central Asia,Europe,1.11,32649,10.714,349.801386,0.433753719,0.388279538
Greece,GRC,High income,Europe & Central Asia,Europe,1.11,10426919,8,83415.352,103.4350365,92.59104072
Greenland,GRL,High income,Europe & Central Asia,Americas,1.14,56661,13.4,759.2574,0.941479176,0.865553436
Grenada,GRD,Upper middle income,Latin America & Caribbean,Americas,1.14,125438,15.961,2002.115918,2.482623738,2.282412147
Guam,GUM,High income,East Asia & Pacific,Western Pacific,0.86,171774,16.376,2812.971024,3.48808407,2.419155081
Guatemala,GTM,Upper middle income,Latin America & Caribbean,Americas,1.14,17357886,21.12,366598.5523,454.5822049,417.9223496
Guinea,GIN,Low income,Sub-Saharan Africa,Africa,1.31,13859341,34.425,477107.8139,591.6136893,625.0112362
Guinea-Bissau,GNB,Low income,Sub-Saharan Africa,Africa,1.31,2105566,31.087,65455.73024,81.1651055,85.74700662
Guyana,GUY,Upper middle income,Latin America & Caribbean,Americas,1.14,808726,20.298,16415.52035,20.35524523,18.7136932
Haiti,HTI,Lower middle income,Latin America & Caribbean,Americas,1.14,11584996,23.498,272224.236,337.5580526,310.335629
Honduras,HND,Lower middle income,Latin America & Caribbean,Americas,1.14,10432860,21.071,219830.7931,272.5901834,250.6071041
"Hong Kong SAR, China",HKG,High income,East Asia & Pacific,Americas,1.14,7346100,5,36730.5,45.54582,41.87277
Hungary,HUN,High income,Europe & Central Asia,Europe,1.11,9643048,9.7,93537.5656,115.9865813,103.8266978
Iceland,ISL,High income,Europe & Central Asia,Europe,1.11,382003,13.1,5004.2393,6.205256732,5.554705623
India,IND,Lower middle income,South Asia,South-East Asia,1.8,1417173173,16.419,23268566.33,28853.02225,41883.41939
