Country Name,Country Code,population_total_2010,crude_birth_rate_2010,population_total_2012,crude_birth_rate_2012,population_total_2014,crude_birth_rate_2014,population_total_2016,crude_birth_rate_2016,population_total_2018,crude_birth_rate_2018,population_total_2020,crude_birth_rate_2020,population_total_2021,crude_birth_rate_2021,population_total_2022
Hungary,HUN,10000023,9,9920362,9.1,9866468,9.5,9814023,9.7,9775564,9.6,9750149,9.6,9709891,9.7,9643048
Iceland,ISL,318041,15.4,320716,14.1,327386,13.4,335439,12,352721,12,366463,12.3,372520,13.1,382003
India,IND,1240613620,21.438,1274487215,20.421,1307246509,19.049,1338636340,18.514,1369003306,17.651,1396387127,16.572,1407563842,16.419,1417173173
Indonesia,IDN,244016173,20.158,250222695,20.093,256229761,18.954,261850182,18.017,267066843,17.179,271857970,16.649,273753191,16.425,275501339
"Iran, Islamic Rep.",IRN,75373855,17.755,77324451,18.926,79961672,19.824,83306231,19.017,85617562,17.231,87290193,14.231,87923432,13.699,88550570
Iraq,IRQ,31264875,34.291,33864447,34.603,36746488,33.083,38697943,30.17,40590700,28.429,42556984,27.732,43533592,27.367,44496122
Ireland,IRL,4560155,16.5,4599533,15.6,4657740,14.4,4755335,13.4,4867316,12.5,4985382,11.2,5033164,11.6,5127170
Isle of Man,IMN,83828,12.826,84338,10.908,83896,9.831,83450,9.359,83775,8.94,84046,8.605,84263,8.529,84519
Israel,ISR,7623600,21.8,7910500,21.6,8215700,21.5,8546000,21.2,8882800,20.8,9215100,19.2,9371400,19.7,9557500
Italy,ITA,59277417,9.5,59539717,9,60789140,8.3,60627498,7.8,60421760,7.3,59438851,6.8,59133173,6.8,58940425
Jamaica,JAM,2733896,15.329,2759817,15.037,2784543,13.96,2802695,13.47,2811835,12.22,2820436,11.813,2827695,11.712,2827377
Japan,JPN,128070000,8.5,127629000,8.2,127276000,8,127076000,7.8,126811000,7.4,126261000,6.8,125681593,6.6,125124989
Jordan,JOR,6931258,28.605,7211863,27.018,8658026,25.398,9964656,23.708,10459865,22.999,10928721,22.265,11148278,21.95,11285869
Kazakhstan,KAZ,16321872,22.53,16792090,22.7,17288285,23.1,17794055,22.52,18276452,21.77,18755666,22.76,19000988,23.5,19621972
Kenya,KEN,41517895,35.422,43725806,33.174,45831863,31.298,47894670,30.401,49953304,29.18,51985780,27.998,53005614,27.685,54027487
Kiribati,KIR,107995,30.783,111618,30.544,114985,29.547,118513,28.86,122261,28.46,126463,27.645,128874,27.207,131232
"Korea, Dem. People's Rep.",PRK,24686435,12.706,24887770,12.957,25126131,13.45,25389611,13.525,25638149,13.488,25867467,13.333,25971909,13.24,26069416
"Korea, Rep.",KOR,49554112,9.4,50199853,9.6,50746659,8.6,51217803,7.9,51585058,6.4,51836239,5.3,51744876,5.1,51628117
Kosovo,XKX,1775680,19.855,1807106,16.399,1812771,14.95,1777557,12.848,1797085,12.094,1790133,11.181,1786038,11.143,1761985
Kuwait,KWT,2943356,21.203,3394663,20.036,3761584,18.234,4048085,14.8,4317185,13.443,4360444,11.797,4250114,10.41,4268873
Kyrgyz Republic,KGZ,5447900,26.8,5607200,27.6,5835500,27.7,6079500,26,6322800,27.1,6579900,24,6773400,22.4,6974900
Lao PDR,LAO,6323418,27.042,6508803,25.811,6691454,24.698,6891363,24.131,7105006,23.238,7319399,22.449,7425057,21.973,7529475
Latvia,LVA,2097555,9.4,2034319,9.8,1993782,10.9,1959537,11.2,1927174,10,1900449,9.2,1884490,9.2,1879383
Lebanon,LBN,4995800,17.565,5178337,17.899,6274342,17.89,6258619,17.395,5950839,16.311,5662923,15.332,5592631,14.948,5489739
Lesotho,LSO,2022747,28.477,2054718,29.054,2095242,28.663,2143872,28.157,2198017,27.262,2254100,26.378,2281454,26.107,2305825
Liberia,LBR,4019956,38.074,4331740,37.307,4519398,35.075,4706097,33.713,4889391,32.706,5087584,31.708,5193416,31.287,5302681
Libya,LBY,6491988,23.562,5869870,21.953,6097764,21.908,6282196,20.576,6477793,19.282,6653942,18.302,6735277,17.828,6812341
Liechtenstein,LIE,35926,9.1,36505,9.7,37096,10,37609,10,38181,9.9,38756,9.1,39039,9.6,39327
Lithuania,LTU,3097282,9.9,2987773,10.2,2932367,10.4,2868231,10.7,2801543,10,2794885,9,2800839,8.3,2831639
Luxembourg,LUX,506953,11.6,530946,11.3,556319,10.9,582014,10.4,607950,10.3,630419,10.2,640064,10.5,653103
