Country Name,Country Code,population_total_2010,crude_birth_rate_2010,population_total_2012,crude_birth_rate_2012,population_total_2014,crude_birth_rate_2014,population_total_2016,crude_birth_rate_2016,population_total_2018,crude_birth_rate_2018,population_total_2020,crude_birth_rate_2020,population_total_2021,crude_birth_rate_2021,population_total_2022
Rwanda,RWA,10309031,34.836,10840334,32.818,11368451,32.085,11930899,31.659,12531808,31.158,13146362,30.309,13461888,29.976,13776698
Samoa,WSM,194672,30.195,198124,30.486,201757,29.801,205544,28.949,209701,28.222,214929,27.622,218764,27.254,222382
San Marino,SMR,31608,10.3,33132,8.7,33389,9.1,33834,7.9,34156,6.8,34007,6.4,33745,6.2,33660
Sao Tome and Principe,STP,182138,36.873,189924,36.148,197497,34.032,204632,31.602,211344,29.535,218641,28.435,223107,28.263,227380
Saudi Arabia,SAU,29411929,21.894,30821543,21.245,32125564,20.161,33416270,18.972,35018133,18.703,35997107,18.238,35950396,17.473,36408820
Senegal,SEN,12530121,37.74,13231833,37.207,13970308,36.322,14751356,34.673,15574909,33.955,16436120,33.034,16876720,32.573,17316449
Serbia,SRB,7291436,9.4,7199077,9.3,7130576,9.3,7058322,9.2,6982604,9.2,6899126,8.9,6834326,9.1,6664449
Seychelles,SYC,89770,16.8,88303,18.6,91359,17,94677,17.4,96762,17.1,98462,15.8,99258,16.8,119878
Sierra Leone,SLE,6436698,38.887,6788587,37.569,7140688,35.533,7493913,34.011,7861281,33.099,8233970,31.914,8420641,31.36,8605718
Singapore,SGP,5076732,9.3,5312437,10.1,5469724,9.8,5607283,9.4,5638676,8.8,5685807,8.5,5453566,8.6,5637022
Sint Maarten (Dutch part),SXM,34056,13.1,34640,12,37685,14.1,39969,11.5,40895,10.1,42310,10,42668,10.5,42848
Slovak Republic,SVK,5391428,11.2,5407579,10.3,5418649,10.2,5430798,10.6,5446771,10.6,5458827,10.4,5447247,10.4,5431752
Slovenia,SVN,2048583,10.9,2057159,10.7,2061980,10.3,2065042,9.9,2073894,9.4,2102419,8.9,2108079,9,2111986
Solomon Islands,SLB,540394,33.641,567763,33.619,597375,33.477,628102,32.379,659249,31.219,691191,30.223,707851,29.785,724273
Somalia,SOM,12026649,47.696,12440326,47.282,13309235,46.747,14292847,46.156,15411094,44.992,16537016,44.007,17065581,43.561,17597511
South Africa,ZAF,51784921,22.274,53145033,22.353,54729551,22.057,56422274,20.25,57339635,21.137,58801927,20.326,59392255,19.821,59893885
South Sudan,SSD,9714419,40.18,10701604,39.872,11213284,38.48,11066105,35.15,10395329,30.147,10606227,29.166,10748272,29.107,10913164
Spain,ESP,46576897,10.4,46773055,9.7,46480882,9.2,46484062,8.8,46797754,7.9,47365655,7.2,47415794,7.1,47778340
Sri Lanka,LKA,20668557,17.553,21017147,17.318,21239457,16.396,21425494,15.496,21670000,14.805,21919000,14.235,22156000,14.019,22181000
St. Kitts and Nevis,KNA,47403,14.789,47727,14.268,47789,13.8,47788,13.456,47761,12.942,47642,12.418,47606,12.125,47657
St. Lucia,LCA,170935,12.618,173124,12.496,174804,12.393,176413,12.229,177888,11.986,179237,11.667,179651,11.49,179857
St. Martin (French part),MAF,36458,18.63,36026,20.904,35261,19.087,34811,17.927,33852,17.022,32553,15.768,31948,15.053,31791
St. Vincent and the Grenadines,VCT,109308,16.854,108083,16.509,106912,16.19,105963,15.161,105281,13.708,104632,13.071,104332,12.901,103948
Sudan,SDN,33739933,37.497,35159792,36.316,37003245,36.349,39377169,36.038,41999059,35.236,44440486,34.226,45657202,33.596,46874204
Suriname,SUR,546080,20.361,558111,19.792,569682,19.334,581453,18.912,593715,18.577,607065,18.279,612985,18.154,618040
Sweden,SWE,9378126,12.3,9519374,11.9,9696110,11.9,9923085,11.8,10175214,11.4,10353442,10.9,10415811,11,10486941
Switzerland,CHE,7824909,10.3,7996861,10.3,8188649,10.4,8373338,10.5,8514329,10.3,8638167,9.9,8704546,10.3,8775760
Syrian Arab Republic,SYR,22337563,28.675,22605577,26.618,20072232,22.39,18964252,18.874,19333463,18.155,20772595,19.67,21324367,20.111,22125249
Tajikistan,TJK,7621779,31.045,7956382,31.169,8326348,31.432,8725318,30.213,9128132,28.688,9543207,27.53,9750064,26.749,9952787
Tanzania,TZA,45110527,39.729,47786137,38.329,50814552,38.893,54401802,38.379,58090443,37.525,61704518,36.651,63588334,36.21,65497748
Thailand,THA,68270489,11.926,69157023,11.754,69960943,11.004,70607037,10.26,71127802,9.662,71475664,9.182,71601103,8.999,71697030
Timor-Leste,TLS,1088486,31.39,1137676,29.822,1184830,28.429,1224562,27.018,1261845,25.921,1299995,25.258,1320942,24.944,1341296
Togo,TGO,6571855,37.351,6926635,35.846,7288383,34.827,7661354,34.099,8046679,33.186,8442580,32.302,8644829,31.856,8848699
Tonga,TON,107383,27.266,107502,26.505,106626,25.68,105707,24.543,105150,23.625,105254,23.139,106017,23.045,106858
Trinidad and Tobago,TTO,1410296,14.842,1430377,14.572,1450661,13.958,1469330,13.292,1504709,12.557,1518147,11.946,1525663,11.687,1531044
Tunisia,TUN,10895063,18.211,11174383,19.184,11428948,19.303,11685667,18.78,11933041,17.737,12161723,16.628,12262946,16.093,12356117
Turkiye,TUR,73142150,17.746,75175827,17.664,77181884,17.972,79277962,17.739,81407204,16.481,83384680,15.033,84147318,14.678,84979913
Turkmenistan,TKM,5267970,25.273,5458682,26.452,5663152,26.502,5868561,25.424,6065066,23.845,6250438,22.294,6341855,21.592,6430770
Turks and Caicos Islands,TCA,29726,13.702,32081,13.258,34985,12.808,38246,13.216,41487,13.13,44276,12.685,45114,12.476,45703
Tuvalu,TUV,10550,22.32,10854,22.741,10899,22.265,10852,22.659,10865,23.508,11069,23.632,11204,23.484,11312
Uganda,UGA,32341728,43.068,34273295,41.743,36336539,40.154,38748299,38.709,41515395,38.062,44404611,37.252,45853778,36.795,47249585
