Country Name,Income Group,WHO Region ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Solomon Islands,Lower middle income,Western Pacific,724273,29.785,21572.47131,26.74986442,18.55232532
Sri Lanka,Lower middle income,South-East Asia,22181000,14.019,310955.439,385.5847444,559.7197902
Tajikistan,Lower middle income,Eastern Mediterranean,9952787,26.749,266227.0995,330.1216033,314.1479774
Tanzania,Lower middle income,Africa,65497748,36.21,2371673.455,2940.875084,3106.892226
Timor-Leste,Lower middle income,South-East Asia,1341296,24.944,33457.28742,41.48703641,60.22311736
Tunisia,Lower middle income,Eastern Mediterranean,12356117,16.093,198846.9909,246.5702687,234.6394492
Ukraine,Lower middle income,Europe,38000000,7.3,277400,343.976,307.914
Uzbekistan,Lower middle income,Europe,35648100,25.9,923285.79,1144.87438,1024.847227
Vanuatu,Lower middle income,Western Pacific,326740,29.438,9618.57212,11.92702943,8.271972023
Vietnam,Lower middle income,Western Pacific,98186856,15.008,1473588.335,1827.249535,1267.285968
West Bank and Gaza,Lower middle income,Eastern Mediterranean,5043612,28.236,142411.4284,176.5901713,168.0454855
Zimbabwe,Lower middle income,Africa,16320537,30.537,498380.2384,617.9914956,652.8781123
Albania,Upper middle income,Europe,2777689,10.24,28443.53536,35.26998385,31.57232425
Argentina,Upper middle income,Americas,46234830,13.902,642756.6067,797.0181923,732.7425316
Armenia,Upper middle income,Europe,2780469,12.049,33501.87098,41.54232002,37.18707679
Azerbaijan,Upper middle income,Europe,10141756,11.1,112573.4916,139.5911296,124.9565757
Belarus,Upper middle income,Europe,9228071,9.283,85664.18309,106.223587,95.08724323
Belize,Upper middle income,Americas,405272,17.976,7285.169472,9.033610145,8.305093198
Bosnia and Herzegovina,Upper middle income,Europe,3233526,8.42,27226.28892,33.76059826,30.2211807
Botswana,Upper middle income,Africa,2630296,23.576,62011.8585,76.89470454,81.23553463
Brazil,Upper middle income,Americas,215313498,12.883,2773883.795,3439.615905,3162.227526
Bulgaria,Upper middle income,Europe,6465097,8.5,54953.3245,68.14212238,60.9981902
China,Upper middle income,Western Pacific,1412175000,7.52,10619556,13168.24944,9132.81816
Colombia,Upper middle income,Americas,51874024,14.204,736818.6369,913.6551098,839.9732461
Costa Rica,Upper middle income,Americas,5180829,11.873,61511.98272,76.27485857,70.1236603
Cuba,Upper middle income,Americas,11212191,8.922,100035.1681,124.0436084,114.0400916
Dominican Republic,Upper middle income,Americas,11228821,18.432,206969.6287,256.6423396,235.9453767
Ecuador,Upper middle income,Americas,18001000,16.817,302722.817,375.3762931,345.1040114
Equatorial Guinea,Upper middle income,Africa,1674908,30.498,51081.34418,63.34086679,66.91656088
